gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1200.5371299586627,1315.9274667648453,1371.0031678472817,1379.3069559712865,1343.90154109049,1337.9327040232445,LO,1000.0,2015-08-06,496.4319
1197.876501878996,1313.1087037718037,1368.1476673968702,1376.6100830811888,1342.6677679118593,1338.1580184011468,LO,1000.0,2015-08-07,496.4157
1207.2848328086354,1323.3443116132153,1378.645138637984,1386.0885316986105,1350.2521434597893,1343.9449251485858,LO,1000.0,2015-08-10,496.424
1202.1127377178557,1321.8198637527057,1378.1428032282352,1386.9963097207456,1351.3487611540725,1345.1979262291106,LO,1000.0,2015-08-11,496.4465
1205.06649151686,1324.9534624193448,1381.2824061688682,1389.5200989523694,1353.2445830086667,1346.3072448318335,LO,1000.0,2015-08-12,496.4311
1202.8726863215265,1322.6778187093043,1378.263516403702,1386.4717011174773,1350.5213832883883,1343.964581697313,LO,1000.0,2015-08-13,496.4424
1206.6808546972227,1326.8309363150977,1382.5852755704213,1389.3756204784738,1352.9148973202493,1345.882748786353,LO,1000.0,2015-08-14,496.4432
1207.4438812354026,1327.8703333060816,1383.8570516415004,1391.0356315299266,1354.932885949833,1348.0367735992193,LO,1000.0,2015-08-17,496.4551
1205.785297262643,1326.067163292753,1382.0049017171657,1388.8655314667758,1352.9531645451189,1346.189896017167,LO,1000.0,2015-08-18,496.4606
1198.6595953284643,1318.3899559748552,1374.5834101978094,1383.5460344391834,1349.1017097871124,1343.474781248833,LO,1000.0,2015-08-19,496.4707
1186.4138342087053,1305.275731087478,1362.5520497394502,1372.7385880820539,1340.1266963662838,1336.0613438943126,LO,1000.0,2015-08-20,496.4758
1176.4343824994692,1297.0912082378013,1354.5928457138377,1365.1040215085025,1332.885988092242,1329.1729293621054,LO,1000.0,2015-08-21,496.4902
1169.1707577030952,1288.6524563872854,1346.4155340877192,1358.6855449399422,1327.9229569113259,1323.4125958277018,LO,1000.0,2015-08-24,496.4904
1155.7532930872994,1276.5326649563087,1334.4902930217643,1347.044404568562,1317.30388167187,1314.7891247210853,LO,1000.0,2015-08-25,496.4816
1160.2074669846538,1279.8677656879024,1337.5890297311369,1349.9586746022617,1319.3045343069796,1316.7819057345741,LO,1000.0,2015-08-26,496.4862
1161.1379642777215,1282.0861125594988,1340.7251436974154,1353.7241602941515,1322.7805774601416,1321.041846881247,LO,1000.0,2015-08-27,496.4906
1158.2812947304292,1278.4320901260571,1336.476215538269,1349.1737705400208,1318.4186128698698,1317.5306503846264,LO,1000.0,2015-08-28,496.4865
1153.3575431548338,1273.1858220267716,1331.188455229734,1343.9923622863464,1313.4813266015942,1312.9343851171118,LO,1000.0,2015-08-31,496.4865
1151.8493403906086,1270.2516654790709,1327.165067313269,1339.3083011816202,1309.3617849081602,1308.4088423474545,LO,1000.0,2015-09-01,496.5193
1153.1191701648536,1272.2343058943732,1329.71538629984,1342.142659184047,1311.5949721836862,1310.3692212717972,LO,1000.0,2015-09-02,496.5451
1152.3819519517942,1271.927616444957,1329.7939680511856,1342.5243498471407,1312.2257248621966,1311.5748516034262,LO,1000.0,2015-09-03,496.5581
1151.6201427526078,1270.096489803455,1327.0548164044721,1339.23532170544,1309.3101784646005,1308.6960250818277,LO,1000.0,2015-09-04,496.5461
1154.116642589615,1272.9755210220628,1330.160611503916,1342.3822385483584,1311.9808937160067,1310.9055234960358,LO,1000.0,2015-09-07,496.5471
1151.61322505385,1270.855786787857,1328.5107885466969,1341.0428925460942,1310.6078691238565,1310.4917246816078,LO,1000.0,2015-09-08,496.5481
