gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1434.4438493443674,1493.3688119757328,1501.8484013800132,1566.4846032382695,1614.5504121703766,1626.828905713899,LS,0.1,2020-11-30,527.5152
1437.2426271847653,1496.3079563616448,1505.6678077525075,1572.9938127125472,1621.2803036751793,1632.6858354696992,LS,0.1,2020-12-01,527.5191
1437.0044681204329,1496.0183645708462,1505.4758293084408,1573.4802179154215,1621.7641116717978,1632.9209166412181,LS,0.1,2020-12-02,527.5229
1439.0911373255028,1498.1834849188244,1507.6023312366365,1576.5664313735876,1624.9163739414894,1635.741190592876,LS,0.1,2020-12-03,527.5241
1439.8185255017024,1498.937614398564,1508.2855903675356,1578.6132451851206,1626.9603798257128,1637.2296879329417,LS,0.1,2020-12-04,527.5253
1440.241958330383,1499.3779429840004,1509.0499222799424,1579.6708130620589,1628.0672729540418,1638.3499670376125,LS,0.1,2020-12-07,527.5351
1442.6773502873502,1501.9114777041402,1511.9365967011686,1582.8662209266374,1631.376537975725,1641.632451819235,LS,0.1,2020-12-08,527.5424
1439.6955622154303,1498.7484059199546,1508.3587738373287,1577.7791459615732,1626.1949318692327,1636.9490437168115,LS,0.1,2020-12-09,527.5398
1441.866190813083,1500.9881571838282,1510.6079651304171,1580.066080049005,1628.5750560378979,1639.3928662010496,LS,0.1,2020-12-10,527.5445
1442.8406339811822,1502.111892572508,1511.834863058217,1580.9611737080509,1629.5470271492275,1640.5556702245274,LS,0.1,2020-12-11,527.5467
1441.6132867238478,1500.6851627420915,1509.9765885415286,1578.5095927133411,1626.9816175200342,1638.1378795787205,LS,0.1,2020-12-14,527.5497
1444.9941277041903,1504.1073272852063,1513.9849882566293,1584.0342217941288,1632.618862345007,1643.202835903484,LS,0.1,2020-12-15,527.5496
1447.7316155347064,1507.1767862912807,1517.33891288338,1587.8674119328925,1636.5340549729158,1646.9375280053603,LS,0.1,2020-12-16,527.5461
1454.25177666536,1514.514636741555,1525.5178105041277,1598.0206430062954,1647.0183868173128,1656.8382946466909,LS,0.1,2020-12-17,527.5461
1449.3077027372794,1508.8023878050644,1519.2136253159026,1591.024112657703,1639.8283812889686,1649.9430547142654,LS,0.1,2020-12-18,527.545
1447.9048607428444,1506.878462795818,1517.3784317206187,1588.2398695027284,1637.1861083811216,1647.982938229523,LS,0.1,2020-12-21,527.5473
1447.769336173874,1506.6607719902934,1517.1059586205085,1587.7709415494317,1636.658074933037,1647.4887647637913,LS,0.1,2020-12-22,527.5578
1449.0161072149838,1508.3335215330262,1518.7514165680911,1590.1334734878901,1638.9161565025559,1649.1873634492392,LS,0.1,2020-12-23,527.5588
1449.5379211929744,1508.8714899772317,1519.2187762240724,1590.7977117503453,1639.5265558644348,1649.6431799561728,LS,0.1,2020-12-24,527.5518
1450.357471032036,1509.872703314314,1520.2963200074585,1591.9484610490638,1640.6968287123668,1650.759896664402,LS,0.1,2020-12-25,527.55355
1445.4945218256757,1504.5163036680044,1514.303450781768,1586.6869426093172,1634.9977653723383,1644.481541792664,LS,0.1,2020-12-28,527.5553
1448.876372244754,1508.549320632016,1518.576027472393,1591.219449886067,1639.6270054237864,1648.9542597106106,LS,0.1,2020-12-29,527.5527
1452.6153176383502,1513.0370667565207,1523.4679327734007,1596.6036419055304,1645.24577038508,1654.5662408867383,LS,0.1,2020-12-30,527.5604
1455.6253586668622,1516.361500900629,1527.1110263228027,1600.9759267800966,1649.751781864868,1658.8828801321774,LS,0.1,2020-12-31,527.5769
1455.323825934961,1515.8942141247321,1526.8121613792798,1601.0961672321148,1649.9284222610718,1659.0645118881744,LS,0.1,2021-01-01,527.57915
1455.9939514486325,1516.6162918244459,1527.842603974527,1602.3440562651642,1651.4059423393774,1660.8038779615504,LS,0.1,2021-01-04,527.5814
1457.8200360596554,1518.7634230862477,1529.8113016285145,1604.872554846462,1653.9193145774757,1662.9330284745072,LS,0.1,2021-01-05,527.5825
